iter	Logloss
0	0.6282961367
1	0.5840888001
2	0.5448050338
3	0.5117744235
4	0.4869515033
5	0.4628824435
6	0.4478929
7	0.4304829616
8	0.4186831442
9	0.4097959463
10	0.4006539741
11	0.3936620417
12	0.3839823298
13	0.3779633042
14	0.3729612824
15	0.3695646931
16	0.3663291233
17	0.3629174486
18	0.3597746264
19	0.3572120453
20	0.3547657856
21	0.3515869615
22	0.3504447794
23	0.3486181573
24	0.3463471886
25	0.3441602837
26	0.3429615229
27	0.3416204736
28	0.3402615234
29	0.3391224362
30	0.3382622375
31	0.337485306
32	0.3365517934
33	0.3358783605
34	0.3344750817
35	0.3331449141
36	0.3327286798
37	0.3318179794
38	0.331102033
39	0.3304207896
40	0.3297986677
41	0.329299223
42	0.32895521
43	0.3277171626
44	0.3272758314
45	0.3265952626
46	0.3259011175
47	0.3251571462
48	0.3245898707
49	0.3239980124
50	0.3235888972
51	0.3233588309
52	0.3226861974
53	0.3221784353
54	0.3217920567
55	0.3210744205
56	0.3207332849
57	0.3204168024
58	0.3199245615
59	0.3194549177
60	0.3189881384
61	0.3182909084
62	0.3180002815
63	0.3174592068
64	0.3171590554
65	0.31684184
66	0.3163817795
67	0.3161156065
68	0.315550796
69	0.3152003336
70	0.3147997843
71	0.3145320671
72	0.3141727434
73	0.3137918463
74	0.3134168654
75	0.3132602585
76	0.312979043
77	0.3127886814
78	0.3123693389
79	0.3120824712
80	0.3118559274
81	0.3115876599
82	0.3111538607
83	0.3107173238
84	0.31023468
85	0.3098160662
86	0.309455334
87	0.3089460827
88	0.3085816124
89	0.308439158
90	0.3080352011
91	0.3076692282
92	0.3072509926
93	0.3069781673
94	0.3064585079
95	0.3062111596
96	0.305978934
97	0.3057378644
98	0.3052974554
99	0.3048590826
100	0.3043904926
101	0.3039269499
102	0.3036432145
103	0.3031742239
104	0.3028447927
105	0.3024841813
106	0.3021100597
107	0.3017881888
108	0.3013922466
109	0.3010456992
110	0.3007788473
111	0.3004144768
112	0.2999150647
113	0.2995708797
114	0.2992526166
115	0.2989595006
116	0.2985071028
117	0.2982155704
118	0.2979481674
119	0.297614286
